transcription_type,receipt_id,banner_id,total,transaction_date,transaction_time,sr_no,item_type,qty,upc,price,per_item,rejection_reason,worker_id,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9
UPC,741549034,walgreens,66.84,04/28/2019,,1,Item,,,,,,,741549034_1,741549034_2,,,,,,,
UPC,742489131,meijer,53.12,05/02/2019,,1,Item,,,,,,,742489131_1,742489131_2,,,,,,,
UPC,742503790,walmart,16.32,04/24/2019,,1,Item,,,,,,,742503790_1,,,,,,,,
UPC,742543580,walgreens,0.0,05/02/2019,,1,Item,,,,,,,742543580_1,742543580_2,,,,,,,
UPC,742568888,dollar_general,10.79,05/02/2019,,1,Item,,,,,,,742568888_1,,,,,,,,
UPC,742791854,walgreens,13.97,04/28/2019,,1,Item,,,,,,,742791854_1,,,,,,,,
UPC,742945596,meijer,5.22,05/01/2019,,1,Item,,,,,,,742945596_1,,,,,,,,
UPC,743021937,commissary,40.07,05/03/2019,,1,Item,,,,,,,743021937_1,743021937_2,,,,,,,
UPC,743285683,walgreens,0.0,05/03/2019,,1,Item,,,,,,,743285683_1,,,,,,,,
UPC,743290196,walgreens,0.0,05/03/2019,,1,Item,,,,,,,743290196_1,,,,,,,,
UPC,743354286,walgreens,0.0,05/01/2019,,1,Item,,,,,,,743354286_1,,,,,,,,
UPC,743433516,walmart,14.86,05/03/2019,,1,Item,,,,,,,743433516_1,,,,,,,,
UPC,743604935,meijer,39.37,05/04/2019,,1,Item,,,,,,,743604935_1,743604935_2,,,,,,,
UPC,743655622,walmart,95.88,04/23/2019,,1,Item,,,,,,,743655622_1,,,,,,,,
UPC,744035540,meijer,11.34,05/04/2019,,1,Item,,,,,,,744035540_1,744035540_2,,,,,,,
UPC,744237692,walmart,68.23,04/28/2019,,1,Item,,,,,,,744237692_1,744237692_2,,,,,,,
UPC,744303473,meijer,160.81,05/04/2019,,1,Item,,,,,,,744303473_1,744303473_2,744303473_3,,,,,,
UPC,744357934,walmart,44.12,05/04/2019,,1,Item,,,,,,,744357934_1,,,,,,,,
UPC,744381217,bjs,25.88,05/03/2019,,1,Item,,,,,,,744381217_1,,,,,,,,
UPC,744390715,walgreens,11.08,05/04/2019,,1,Item,,,,,,,744390715_1,744390715_2,,,,,,,
UPC,745031985,walmart,109.05,05/04/2019,,1,Item,,,,,,,745031985_1,745031985_2,,,,,,,
UPC,745063946,walgreens,7.99,05/06/2019,,1,Item,,,,,,,745063946_1,,,,,,,,
UPC,745404542,walmart,33.53,05/05/2019,,1,Item,,,,,,,745404542_1,,,,,,,,
UPC,745497537,walgreens,11.84,05/06/2019,,1,Item,,,,,,,745497537_1,,,,,,,,
UPC,745497746,walgreens,33.58,05/03/2019,,1,Item,,,,,,,745497746_1,,,,,,,,
UPC,745654174,walmart,44.98,05/05/2019,,1,Item,,,,,,,745654174_1,,,,,,,,
UPC,745654240,walmart,16.8,05/05/2019,,1,Item,,,,,,,745654240_1,,,,,,,,
UPC,745654414,walmart,21.03,05/02/2019,,1,Item,,,,,,,745654414_1,745654414_2,,,,,,,
UPC,745654889,walmart,66.68,05/04/2019,,1,Item,,,,,,,745654889_1,,,,,,,,
UPC,745659362,bjs,43.37,05/04/2019,,1,Item,,,,,,,745659362_1,,,,,,,,
UPC,745660528,bed_bath_and_beyond,40.07,05/05/2019,,1,Item,,,,,,,745660528_1,,,,,,,,
UPC,745660971,dollar_general,4.35,05/06/2019,,1,Item,,,,,,,745660971_1,,,,,,,,
UPC,745667139,meijer,23.18,05/06/2019,,1,Item,,,,,,,745667139_1,,,,,,,,
UPC,745668473,discount_drug_mart,33.47,04/30/2019,,1,Item,,,,,,,745668473_1,745668473_2,,,,,,,
UPC,745668998,discount_drug_mart,39.78,05/03/2019,,1,Item,,,,,,,745668998_1,,,,,,,,
UPC,745669219,walmart,34.65,05/05/2019,,1,Item,,,,,,,745669219_1,,,,,,,,
UPC,745672800,walmart,28.28,05/06/2019,,1,Item,,,,,,,745672800_1,,,,,,,,
UPC,745673659,walmart,47.11,05/06/2019,,1,Item,,,,,,,745673659_1,,,,,,,,
UPC,745674670,meijer,188.36,05/06/2019,,1,Item,,,,,,,745674670_1,745674670_2,745674670_3,,,,,,
UPC,745674988,walmart,24.24,05/06/2019,,1,Item,,,,,,,745674988_1,,,,,,,,
UPC,745675770,walmart,73.29,05/06/2019,,1,Item,,,,,,,745675770_1,,,,,,,,
UPC,745676145,walmart,40.12,05/04/2019,,1,Item,,,,,,,745676145_1,,,,,,,,
UPC,745680071,cub,182.05,05/06/2019,,1,Item,,,,,,,745680071_1,745680071_2,745680071_3,745680071_4,745680071_5,,,,
UPC,745681499,walmart,33.47,05/06/2019,,1,Item,,,,,,,745681499_1,,,,,,,,
UPC,745681678,walgreens,13.6,04/30/2019,,1,Item,,,,,,,745681678_1,,,,,,,,
UPC,745681686,walmart,10.9,05/05/2019,,1,Item,,,,,,,745681686_1,,,,,,,,
UPC,745683160,ulta_beauty_supply,81.05,05/06/2019,,1,Item,,,,,,,745683160_1,745683160_2,,,,,,,
UPC,745684059,bjs,50.89,05/05/2019,,1,Item,,,,,,,745684059_1,745684059_2,745684059_3,,,,,,
UPC,745684339,kmart,46.82,05/04/2019,,1,Item,,,,,,,745684339_1,745684339_2,745684339_3,,,,,,
UPC,745684536,meijer,42.3,04/26/2019,,1,Item,,,,,,,745684536_1,745684536_2,,,,,,,
UPC,745684814,walmart,39.38,05/03/2019,,1,Item,,,,,,,745684814_1,,,,,,,,
UPC,745684942,harps_food_store,14.04,05/05/2019,,1,Item,,,,,,,745684942_1,,,,,,,,
UPC,745685174,cub,6.78,04/27/2019,,1,Item,,,,,,,745685174_1,745685174_2,,,,,,,
UPC,745685392,walgreens,45.32,05/07/2019,,1,Item,,,,,,,745685392_1,745685392_2,,,,,,,
UPC,745685480,walmart,49.07,05/05/2019,,1,Item,,,,,,,745685480_1,,,,,,,,
UPC,745685513,bjs,136.74,05/04/2019,,1,Item,,,,,,,745685513_1,745685513_2,745685513_3,745685513_4,,,,,
UPC,745686537,bjs,27.04,05/04/2019,,1,Item,,,,,,,745686537_1,745686537_2,,,,,,,
UPC,745686624,bjs,126.73,04/28/2019,,1,Item,,,,,,,745686624_1,,,,,,,,
UPC,745686764,shoppers,1.38,05/02/2019,,1,Item,,,,,,,745686764_1,,,,,,,,
UPC,745687112,exchange,147.0,05/03/2019,,1,Item,,,,,,,745687112_1,,,,,,,,
UPC,745687130,commissary,211.47,05/05/2019,,1,Item,,,,,,,745687130_1,745687130_2,745687130_3,745687130_4,,,,,
UPC,745688621,discount_drug_mart,24.29,05/04/2019,,1,Item,,,,,,,745688621_1,,,,,,,,
UPC,745688713,winco_foods,102.87,04/27/2019,,1,Item,,,,,,,745688713_1,745688713_2,,,,,,,
UPC,745689276,bed_bath_and_beyond,18.46,05/06/2019,,1,Item,,,,,,,745689276_1,,,,,,,,
UPC,745689559,walgreens,24.12,05/07/2019,,1,Item,,,,,,,745689559_1,,,,,,,,
UPC,745689632,bjs,10.99,05/06/2019,,1,Item,,,,,,,745689632_1,,,,,,,,
UPC,745689834,fred_meyer,35.82,05/05/2019,,1,Item,,,,,,,745689834_1,745689834_2,,,,,,,
UPC,745690344,walgreens,34.39,05/04/2019,,1,Item,,,,,,,745690344_1,,,,,,,,
UPC,745690622,walgreens,5.98,05/07/2019,,1,Item,,,,,,,745690622_1,,,,,,,,
UPC,745690686,family_dollar,3.15,04/25/2019,,1,Item,,,,,,,745690686_1,,,,,,,,
UPC,745690926,fred_meyer,6.58,05/06/2019,,1,Item,,,,,,,745690926_1,,,,,,,,
UPC,745691522,bed_bath_and_beyond,24.95,05/03/2019,,1,Item,,,,,,,745691522_1,745691522_2,,,,,,,
UPC,745691827,exchange,2.68,05/06/2019,,1,Item,,,,,,,745691827_1,,,,,,,,
UPC,745692192,walmart,44.58,05/03/2019,,1,Item,,,,,,,745692192_1,,,,,,,,
UPC,745692430,dollar_general,43.31,05/04/2019,,1,Item,,,,,,,745692430_1,745692430_2,,,,,,,
UPC,745692798,walgreens,14.01,05/07/2019,,1,Item,,,,,,,745692798_1,745692798_2,,,,,,,
UPC,745692836,walmart,51.64,05/04/2019,,1,Item,,,,,,,745692836_1,,,,,,,,
UPC,745693457,walmart,90.35,05/05/2019,,1,Item,,,,,,,745693457_1,745693457_2,,,,,,,
UPC,745693732,bjs,86.52,05/04/2019,,1,Item,,,,,,,745693732_1,745693732_2,,,,,,,
UPC,745694442,walgreens,10.38,05/07/2019,,1,Item,,,,,,,745694442_1,,,,,,,,
UPC,745694496,walgreens,11.95,05/06/2019,,1,Item,,,,,,,745694496_1,745694496_2,,,,,,,
UPC,745694557,walgreens,24.21,05/06/2019,,1,Item,,,,,,,745694557_1,,,,,,,,
UPC,745694614,ulta_beauty_supply,50.01,05/06/2019,,1,Item,,,,,,,745694614_1,745694614_2,,,,,,,
UPC,745694856,the_vitamin_shoppe,44.15,05/04/2019,,1,Item,,,,,,,745694856_1,745694856_2,,,,,,,
UPC,745694975,family_dollar,9.61,05/03/2019,,1,Item,,,,,,,745694975_1,,,,,,,,
UPC,745695282,commissary,62.52,04/29/2019,,1,Item,,,,,,,745695282_1,745695282_2,,,,,,,
UPC,745695896,walgreens,10.56,05/06/2019,,1,Item,,,,,,,745695896_1,,,,,,,,
UPC,745695951,bed_bath_and_beyond,12.33,05/06/2019,,1,Item,,,,,,,745695951_1,,,,,,,,
UPC,745696297,bjs,46.12,05/06/2019,,1,Item,,,,,,,745696297_1,,,,,,,,
UPC,745696346,walmart,75.96,05/04/2019,,1,Item,,,,,,,745696346_1,,,,,,,,
UPC,745696450,bjs,56.05,05/06/2019,,1,Item,,,,,,,745696450_1,,,,,,,,
UPC,745696969,walgreens,30.72,05/06/2019,,1,Item,,,,,,,745696969_1,745696969_2,,,,,,,
UPC,745697083,walmart,86.08,05/06/2019,,1,Item,,,,,,,745697083_1,,,,,,,,
UPC,745697213,bjs,34.62,05/06/2019,,1,Item,,,,,,,745697213_1,,,,,,,,
UPC,745697427,meijer,2.18,05/06/2019,,1,Item,,,,,,,745697427_1,745697427_2,745697427_3,,,,,,
UPC,745697471,bjs,226.27,05/06/2019,,1,Item,,,,,,,745697471_1,,,,,,,,
UPC,745698242,walgreens,2.7,05/04/2019,,1,Item,,,,,,,745698242_1,,,,,,,,
UPC,745698314,walgreens,9.55,05/07/2019,,1,Item,,,,,,,745698314_1,,,,,,,,
UPC,745698662,walmart,118.54,04/26/2019,,1,Item,,,,,,,745698662_1,745698662_2,745698662_3,,,,,,
UPC,745698721,walgreens,47.36,05/06/2019,,1,Item,,,,,,,745698721_1,745698721_2,745698721_3,,,,,,
UPC,745699056,total_wine_n_more,45.36,05/06/2019,,1,Item,,,,,,,745699056_1,745699056_2,,,,,,,
UPC,745699338,meijer,20.0,04/27/2019,,1,Item,,,,,,,745699338_1,745699338_2,,,,,,,
UPC,745699766,walgreens,25.53,05/06/2019,,1,Item,,,,,,,745699766_1,,,,,,,,
UPC,745699931,walgreens,14.0,05/06/2019,,1,Item,,,,,,,745699931_1,745699931_2,,,,,,,
UPC,745700089,walgreens,16.17,05/07/2019,,1,Item,,,,,,,745700089_1,745700089_2,,,,,,,
UPC,745700273,dollar_general,8.39,04/27/2019,,1,Item,,,,,,,745700273_1,,,,,,,,
UPC,745700680,walgreens,10.32,05/06/2019,,1,Item,,,,,,,745700680_1,745700680_2,,,,,,,
UPC,745700686,duane_reade,2.16,05/07/2019,,1,Item,,,,,,,745700686_1,,,,,,,,
UPC,745700786,dollar_general,3.75,05/06/2019,,1,Item,,,,,,,745700786_1,,,,,,,,
UPC,745700797,bjs,69.27,05/04/2019,,1,Item,,,,,,,745700797_1,,,,,,,,
UPC,745700939,walgreens,3.4,05/06/2019,,1,Item,,,,,,,745700939_1,745700939_2,,,,,,,
UPC,745701539,winco_foods,25.86,05/06/2019,,1,Item,,,,,,,745701539_1,,,,,,,,
UPC,745701673,walgreens,63.18,05/05/2019,,1,Item,,,,,,,745701673_1,,,,,,,,
UPC,745701727,walmart,247.79,05/06/2019,,1,Item,,,,,,,745701727_1,745701727_2,745701727_3,,,,,,
UPC,745702117,exchange,44.49,05/03/2019,,1,Item,,,,,,,745702117_1,,,,,,,,
UPC,745702390,total_wine_n_more,17.31,05/04/2019,,1,Item,,,,,,,745702390_1,745702390_2,,,,,,,
UPC,745702712,petsmart,31.83,05/06/2019,,1,Item,,,,,,,745702712_1,745702712_2,,,,,,,
UPC,745703396,bed_bath_and_beyond,20.75,05/05/2019,,1,Item,,,,,,,745703396_1,,,,,,,,
UPC,745704036,walmart,23.39,05/04/2019,,1,Item,,,,,,,745704036_1,,,,,,,,
UPC,745704194,walmart,51.16,05/04/2019,,1,Item,,,,,,,745704194_1,,,,,,,,
UPC,745704924,walmart,207.75,05/05/2019,,1,Item,,,,,,,745704924_1,,,,,,,,
UPC,745705552,walgreens,2.3,05/06/2019,,1,Item,,,,,,,745705552_1,,,,,,,,
UPC,745705656,walgreens,22.33,05/06/2019,,1,Item,,,,,,,745705656_1,,,,,,,,
UPC,745705753,dollar_general,2.21,05/06/2019,,1,Item,,,,,,,745705753_1,,,,,,,,
UPC,745705757,walgreens,9.6,05/01/2019,,1,Item,,,,,,,745705757_1,745705757_2,,,,,,,
UPC,745706200,bath_and_body_works,12.72,05/06/2019,,1,Item,,,,,,,745706200_1,,,,,,,,
UPC,745706312,walgreens,25.36,05/06/2019,,1,Item,,,,,,,745706312_1,745706312_2,,,,,,,
UPC,745706735,walgreens,14.36,05/06/2019,,1,Item,,,,,,,745706735_1,,,,,,,,
